k_quality,k_drift,infl_max,scenario,controller,violation_rate_mean,violation_rate_std,intervention_rate_mean,intervention_rate_std,mean_interval_width_mean,mean_interval_width_std,picp_90_mean,picp_90_std,n_seeds
0.400000,0.000000,3.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.000000,3.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.000000,3.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.400000,0.000000,3.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.400000,0.600000,2.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,2.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.400000,0.600000,2.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,662.625166,10.535145,0.369048,0.000000,2
0.400000,0.600000,2.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,2.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,2.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.400000,0.600000,2.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.400000,0.600000,2.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.400000,0.600000,2.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,2.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.400000,0.600000,2.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,531.893564,0.446795,0.934524,0.008418,2
0.400000,0.600000,2.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,2.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,2.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.400000,0.600000,2.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.400000,0.600000,2.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.533205,0.226264,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.400000,0.600000,2.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.400000,0.600000,3.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,3.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.400000,0.600000,3.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,662.625166,10.535145,0.369048,0.000000,2
0.400000,0.600000,3.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,3.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.400000,0.600000,3.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.400000,0.600000,3.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.400000,0.600000,3.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.400000,0.600000,3.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,3.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.400000,0.600000,3.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,531.893564,0.446795,0.934524,0.008418,2
0.400000,0.600000,3.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,3.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.400000,0.600000,3.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.400000,0.600000,3.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.400000,0.600000,3.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.533205,0.226264,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.400000,0.600000,3.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.800000,0.000000,2.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,2.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.800000,0.000000,2.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,707.108483,11.984140,0.369048,0.000000,2
0.800000,0.000000,2.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,2.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,2.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.800000,0.000000,2.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.800000,0.000000,2.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.800000,0.000000,2.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,2.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.800000,0.000000,2.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.532597,0.261047,0.934524,0.008418,2
0.800000,0.000000,2.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,2.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,2.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.800000,0.000000,2.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.800000,0.000000,2.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.633292,0.175006,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.800000,0.000000,2.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.800000,0.000000,3.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,3.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.800000,0.000000,3.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,708.067095,10.628458,0.369048,0.000000,2
0.800000,0.000000,3.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,3.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.000000,3.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.800000,0.000000,3.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.800000,0.000000,3.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.800000,0.000000,3.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,3.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.800000,0.000000,3.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.532597,0.261047,0.934524,0.008418,2
0.800000,0.000000,3.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,3.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.000000,3.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.800000,0.000000,3.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.800000,0.000000,3.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.633292,0.175006,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.800000,0.000000,3.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.800000,0.600000,2.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,2.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.800000,0.600000,2.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,714.945659,12.589130,0.369048,0.000000,2
0.800000,0.600000,2.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,2.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,2.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.800000,0.600000,2.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.800000,0.600000,2.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.800000,0.600000,2.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,2.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.800000,0.600000,2.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,531.993145,0.396253,0.934524,0.008418,2
0.800000,0.600000,2.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,2.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,2.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.800000,0.600000,2.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.800000,0.600000,2.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.633292,0.175006,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.800000,0.600000,2.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
0.800000,0.600000,3.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,3.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
0.800000,0.600000,3.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,715.904271,11.233448,0.369048,0.000000,2
0.800000,0.600000,3.000000,drift_combo,deterministic_lp,0.089286,0.008418,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,3.000000,drift_combo,robust_fixed_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
0.800000,0.600000,3.000000,drift_combo,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8130.383587,73.604767,0.648810,0.008418,2
0.800000,0.600000,3.000000,drift_combo,scenario_robust,0.000000,0.000000,0.000000,0.000000,20254.699777,2072.821251,0.958333,0.008418,2
0.800000,0.600000,3.000000,dropout,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.972834,0.005892,0.928571,0.000000,2
0.800000,0.600000,3.000000,dropout,cvar_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,3.000000,dropout,dc3s_ftit,0.000000,0.000000,0.077381,0.008417,895.023823,123.544706,0.940476,0.016836,2
0.800000,0.600000,3.000000,dropout,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,531.993145,0.396253,0.934524,0.008418,2
0.800000,0.600000,3.000000,dropout,deterministic_lp,0.119048,0.016836,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,3.000000,dropout,robust_fixed_interval,0.404762,0.488240,0.000000,0.000000,502.808550,0.000000,0.934524,0.008418,2
0.800000,0.600000,3.000000,dropout,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8001.116203,0.803926,1.000000,0.000000,2
0.800000,0.600000,3.000000,dropout,scenario_robust,0.000000,0.000000,0.000000,0.000000,1357.788184,306.203365,0.946429,0.025254,2
0.800000,0.600000,3.000000,nominal,aci_conformal,0.000000,0.000000,0.017858,0.008418,99.917000,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,cvar_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,dc3s_ftit,0.000000,0.000000,0.000000,0.000000,306.000726,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,524.633292,0.175006,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,deterministic_lp,0.101191,0.008418,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,robust_fixed_interval,0.190476,0.000000,0.000000,0.000000,502.808550,0.000000,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,scenario_mpc,0.000000,0.000000,0.000000,0.000000,8000.960800,4.220279,1.000000,0.000000,2
0.800000,0.600000,3.000000,nominal,scenario_robust,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2
1.200000,0.000000,2.000000,drift_combo,aci_conformal,0.000000,0.000000,0.017858,0.008418,15358.063406,1055.076145,0.892857,0.000000,2
1.200000,0.000000,2.000000,drift_combo,cvar_interval,0.470238,0.395643,0.000000,0.000000,502.808550,0.000000,0.369048,0.000000,2
1.200000,0.000000,2.000000,drift_combo,dc3s_ftit,0.000000,0.000000,0.125000,0.042090,10537.545812,108.637342,0.827381,0.042090,2
1.200000,0.000000,2.000000,drift_combo,dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,737.640780,15.454009,0.369048,0.000000,2
